accessions,sources,40 g plots ,total plots,Notes,,source,Genotype,seed_for_Cornell_g,oat_reps,JLJ--30Aug23_Keep4KY
25,Nobel,4,100,,,Nobel,NF12AS-108-4/1,160,4,4
25,UWOT,6,150,Lauren saw lower winter survival than NCSU accession,,Nobel,NF13-4157-4/2,160,4,4
,,,,,,Nobel,PI 555733,160,4,4
18,Nobel,3,54,,,Nobel,NF13-4124-4/3,160,4,4
30,NCSU,2,60,,,Nobel,NF12AS-108-4/4,160,4,4
,,,,,,Nobel,NF13-4083-4/6,160,4,4
,sole_pea (replicated),,,,,Nobel,NF12AS-122-4/4,160,4,2
,oat_pea_guard,,,,,Nobel,Okay,160,4,2
,barley,Put the six barley varieties in here too,,,,Nobel,NF97405B2,160,4,2
,,,,,,Nobel,NF12AS-91-4/1,160,4,2
,,,,,,Nobel,NF97405-1,160,4,2
,,,,,,Nobel,NF00407,160,4,2
,,,,,,Nobel,NF12AS-107-4/2-1,160,4,2
,,,,,,Nobel,NF12AS-122-4/3,160,4,2
,,,,,,Nobel,NF13-4124-4/8,120,3,2
,,,,,,Nobel,Ozark,120,3,2
,,,,,,Nobel,NF502/5,120,3,2
,,,,,,Nobel,NF13-4173-4/4,120,3,2
,,,,,,Nobel,NF13-4214-4/5,160,4,
,,,,,,Nobel,Harrison,160,4,
,,,,,,Nobel,NF12AS-100-4/2,160,4,
,,,,,,Nobel,LA08039SBSBS-56-A1,160,4,
,,,,,,Nobel,NF13-4214-4/1,160,4,
,,,,,,Nobel,NF13-4126-4/3,160,4,
,,,,,,Nobel,Clav 6982,160,4,
,,,,,,Nobel,NF13-4153-4/2,160,4,
,,,,,,Nobel,NF13-4173-4/5,160,4,
,,,,,,Nobel,NF12AS-107-4/4,160,4,
,,,,,,Nobel,NF01401B,160,4,
,,,,,,Nobel,PI 555736,120,3,
,,,,,,Nobel,NF99401/1-1,120,3,
,,,,,,Nobel,NF99414-1,120,3,
,,,,,,Nobel,NF401/1,120,3,
,,,,,,Nobel,Clav 7618,120,3,
,,,,,,Nobel,Nora,120,3,
,,,,,,Nobel,NF01404A,120,3,
,,,,,,Nobel,NF99414,120,3,
,,,,,,Nobel,NF05424/2,120,3,
,,,,,,Nobel,NF18,120,3,
,,,,,,Nobel,Clav 4476,120,3,
,,,,,,Nobel,Aurora,120,3,
,,,,,,Nobel,NF13-4173-4/6,120,3,
,,,,,,Nobel,NF12AS-73-4/3,120,3,
,,,,,,NCSU-ALT,Horizon 578-1,100,2,
,,,,,,NCSU-ALT,Horizon 578-2,100,2,
,,,,,,NCSU-ALT,Gerard 224-1,100,2,
,,,,,,NCSU-ALT,Gerard 224-2,100,2,
,,,,,,NCSU-ALT,Gerard 227-1,100,2,
,,,,,,NCSU-ALT,Gerard 227-2,100,2,
,,,,,,NCSU-ALT,Horizon 201-1,100,2,
,,,,,,NCSU-ALT,Horizon 201-2,100,2,
,,,,,,NCSU-ALT,NC09-4503N-1,100,2,
,,,,,,NCSU-ALT,NC09-4503N-2,100,2,
,,,,,,NCSU-ALT,NC17-6440,100,2,
,,,,,,NCSU-ALT,NC18-5877N,100,2,
,,,,,,NCSU-ALT,NC19-3542,100,2,
,,,,,,NCSU-ALT,NC20-4402,100,2,
,,,,,,NCSU-ALT,NC20-4452,100,2,
,,,,,,NCSU-ALT,NC20-4526,100,2,
,,,,,,NCSU-ALT,NC20-4551,100,2,
,,,,,,NCSU-ALT,NC20-4700,100,2,
,,,,,,NCSU-ALT,NC20-4702,100,2,
,,,,,,NCSU-ALT,NC20-4795,100,2,
,,,,,,NCSU-ALT,NC21-6429,100,2,
,,,,,,NCSU-ALT,NC21-6475,100,2,
,,,,,,NCSU-ALT,NC21-6492,100,2,
,,,,,,NCSU-ALT,NC21-6497,100,2,
,,,,,,NCSU-ALT,NC21-6502,100,2,
,,,,,,NCSU-ALT,NC21-6505,100,2,
,,,,,,NCSU-ALT,NC21-6511,100,2,
,,,,,,NCSU-ALT,NC21-6576,100,2,
,,,,,,NCSU-ALT,NC21-6609,100,2,
,,,,,,NCSU-ALT,NC21-6610,100,2,
,,,,,,UWOT,UWOT-1,250,6,
,,,,,,UWOT,UWOT-2,250,6,
,,,,,,UWOT,UWOT-3,250,6,
,,,,,,UWOT,UWOT-4,250,6,
,,,,,,UWOT,UWOT-5,250,6,
,,,,,,UWOT,UWOT-6,250,6,
,,,,,,UWOT,UWOT-7,250,6,
,,,,,,UWOT,UWOT-8,250,6,
,,,,,,UWOT,UWOT-9,250,6,
,,,,,,UWOT,UWOT-10,250,6,
,,,,,,UWOT,UWOT-11,250,6,
,,,,,,UWOT,UWOT-12,250,6,
,,,,,,UWOT,UWOT-13,250,6,
,,,,,,UWOT,UWOT-14,250,6,
,,,,,,UWOT,UWOT-15,250,6,
,,,,,,UWOT,UWOT-16,250,6,
,,,,,,UWOT,UWOT-17,250,6,
,,,,,,UWOT,UWOT-18,250,6,
,,,,,,UWOT,UWOT-19,250,6,
,,,,,,UWOT,UWOT-20,250,6,
,,,,,,UWOT,UWOT-21,250,6,
,,,,,,UWOT,UWOT-22,250,6,
,,,,,,UWOT,UWOT-23,250,6,
,,,,,,UWOT,UWOT-24,250,6,
,,,,,,UWOT,UWOT-25,250,6,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,