Accession -- UEOPN,Heading date - Julian day,Grain yield - g/m2,Plant height - cm,Test weight - g/L
LSD,1.9,52.89,6.48,33.23
HSD,3.82,106.16,13,66.71
A10,173.28,310.97,74.7,438.76
A11,176.07,328.74,73.31,460.07
A25,171.11,286.31,84.17,435.41
A513,175.83,376.64,84.06,440.72
A516,173.4,317.8,83.36,441.85
AJAY,180.78,374.65,74.58,437.48
ANTIGO,174.06,350.34,83.59,482.03
BADGER,172.43,353.35,80.74,463.46
BETAGENE,178.76,400.16,85.19,448.09
BUFFALO,178.09,389.28,93.53,447.37
CLINTFORD,173.36,318.57,87.89,453.01
DON,173.82,365.8,79.06,455.22
FILL,174.79,437.03,79.52,488.53
George,181.93,368.53,94.5,454.88
GOLIATH,179.59,354.25,110.29,468.18
HAYDEN,177.26,386.17,89,470.76
HORSEPOWER,174.93,412.11,77.69,455.53
IDA,177.76,380.19,92.26,448.09
IL15-5271,174.94,386.14,81.36,466.43
IL15-5752,171.03,348.59,79.61,464.43
IL17-5238,172.08,365.07,83.76,460.86
IL17-7334,174.73,377.47,70.42,444.11
KAME,173.48,348.11,80.61,431.96
MAVERICK,180.78,344.05,74.58,425.89
MN11211,179.43,364.83,87.85,448.09
MN18015X_004,172.98,365.45,78.03,481.94
MN18048X_005,174.32,345.79,90.22,462.25
MN18057X_007,173.73,339.49,80.01,442.27
MN19104X_016,173.94,387.96,84.42,474.4
NATTY,174.98,380.78,91.45,469.14
RUSHMORE,176.21,367.98,92.71,478.84
SD Buffalo,174.99,367.72,87.77,464.3
SD120419,176.49,396.35,88.6,457.15
SD181377,175.28,423.74,91.41,468.91
SD190323,175.44,394.58,89.09,475.93
SD190850,174.15,385.21,94.92,498.73
SD190992,177.03,404.2,89.15,484.65
SD191467,174.69,406.63,89.42,498.1
SD191508,175.23,357.98,80.44,469.91
WI_X10305-4,174.43,338.88,68.04,483.2
WI_X10677-3,176.19,397.52,88.88,454.11
WI_X10680-3,180.32,434.04,88.26,439.96
WI_X9562-5,174.83,375.32,88.07,452.85