Accession -- UMOPN,Heading date - Julian day,Grain yield - g/m2,Plant height - cm,Test weight - g/L
LSD,1.76,62.61,7.16,23.98
HSD,3.47,123.79,14.16,47.44
AJAY,178.78,401.6,60.18,433.38
CLINTLAND64,174.83,395.69,93.49,460.96
GOPHER,176.5,317.27,95.5,437.59
IL17-1253,177,446.94,83.44,459.14
IL17-1704,175.17,450.61,85.86,485.81
IL17-5238,171.5,391.15,86.66,463.01
IL17-7339,175.17,434.84,73.98,453.11
LEGGETT,178.28,398.16,91.22,450
MAVERICK,180.78,446,75.38,430.81
MN18038X_008,178.5,456.57,93.02,434.78
MN19113X_017,177.11,465.41,94.86,481.67
MN19113X_043,177.39,444.52,94.13,488.35
MN19139X_038,177.06,399.3,89.58,477.04
ND141338,178.78,444.03,90.24,451.58
ND161488,176.06,428.03,98.75,447.39
ND170307,180.17,432.2,93.78,433.91
ND170376,179.11,401.06,103.47,460.31
ND170388,179.22,460.29,92.9,478.23
ND170395,177.67,436.12,92.69,477.49
ND180256,178.06,427.47,101.4,462.49
NEWBURG,177.33,414.41,97.5,444.34
OGLE,175.06,411.61,86.51,438.91
OT2130,179.17,401.41,86.38,415.04
OT3119,178.28,449.69,89.69,446.33
OT3120,177.72,463.61,91.21,440.13
OT7100,177.89,443.76,91.71,442.09
SD120419,176.33,413.81,89.17,484.36
SD170935,178.78,495.43,104.49,490.75
SD180580,176.56,437.88,89.67,492.29
SD180905,177.39,467.59,90.63,489.77
SD181237,177.95,489.16,105.59,484.52
SD181245,177.67,462.5,103.8,482.15
SD190311,177.5,453.17,90.51,473.78
WI_X10466-7,176.45,464.17,93.54,465.26
WI_X10642-3,175.61,410.31,81.79,476.28
WI_X10710-5,177.89,458.73,85.11,473.92
WI_X10710-7,178.56,408.47,82.31,479.16
WI_X9562-5,178.16,584.86,108.94,462.63