UNIFORM WINTER OAT NUSERY (UON) 2023-2024,,,,,,,
EXPT,YEAR,ENTRY,DESIG,PED,SEED SOURCE,1ST YEAR IN NURSERY,Drop from NY (first five based on pedigree after that ??)
UON,24,001,Gerard 224,Rodgers/Txab29923//Rodgers(=NC03-2421v),Murphy-check, 09-10,
UON,24,002,Juggernaut,FLLA9015-U1=(FL0210-J1/MN06023),Babar-check, 16-17,
UON,24,003,LA99016,TX96M1385/SECTLA495,Harrison-check, 08-09,
UON,24,004,Savage,TX14OCS5212=(FL0115-J4/TX02U7047),Hathcoat-check,22-23,
UON,24,005,FLLA11019-8,FL0564-Ab13 / LA06071SBSB-S1,Harrison-check,23-24,
UON,24,006,NC18-5877N ,NC11 -1498 / NC08-2706N ,P. Murphy - NCSU,23-24,
UON,24,007,NC20-4402 ,NC12-3578 / Horizon 201 ,P. Murphy - NCSU,23-24,
UON,24,008,NC20-4700 ,NC12-3447 / TX09CS-1029     ,P. Murphy - NCSU,22-23,
UON,24,009,NC20-4452 ,Horizon578/Horizon306 ,P. Murphy - NCSU,22-23,
UON,24,010,NC20-4526 ,Horizon578/Gerard227 ,P. Murphy - NCSU,22-23,
UON,24,011,NC20-4551 ,Horizon578/NC10-5051 ,P. Murphy - NCSU,22-23,
UON,24,012,LA17069SBSS-2-1,"LAFL09015SBS-U4 / LA16170,F1 (TX14OCS5160 / HZN 306 )",S. Harrison - LSU,23-24,
UON,24,013,LA17075SBSS-29-1,LA10001SSBS-20 / LA10041SSBS-80,S. Harrison - LSU,23-24,
UON,24,014,LA17089SBS-45-1-1,LA10041SSBS-80 / LA99017,S. Harrison - LSU,23-24,8
UON,24,015,LA17129SBSS-8-1,"MN11211 (SA081654)2 / LA16022,F1 (CANTARA / BW 823)",S. Harrison - LSU,23-24,
UON,24,016,LA17153SBSS-46-1,NC12-3447 / LAFL09015SBS-U4,S. Harrison - LSU,23-24,
UON,24,017,LA17153SBSS-55-1,NC12-3447 / LAFL09015SBS-U4,S. Harrison - LSU,23-24,1
UON,24,018,LA15015SB-S50,BW 08-5 / HZN 306 (LA05006),S. Harrison - LSU,20-21,
UON,24,019,SCLA17080SBS-4-2,LA10001SSBS-20 / MN2013BT1021-1-2,R. Boyle - CU,23-24,
UON,24,020,SCLA17031SBSS-4-1,"HZN 306  / LA16049,F1 (HZN 306  / UFRGS 087045-3)",R. Boyle - CU,23-24,
UON,24,021,SCLA17018SBSS-45-1,FL0720-R6 / LA10041SSBS-80,R. Boyle - CU,23-24,
UON,24,022,FLLA17069-53,LA09015SBS-U4 / LA99016,M. A. Babar - UFL,23-24,
UON,24,023,FLLA17069-65,LA09015SBS-U4 / LA99016,M. A. Babar - UFL,23-24,
UON,24,024,FLLA17069-54,LA09015SBS-U4 / LA99016,M. A. Babar - UFL,23-24,2
UON,24,025,FLLA17069-52,LA09015SBS-U4 / LA99016,M. A. Babar - UFL,23-24,3
UON,24,026,FLLA17088-61,LA10044SSBS-1 / LA10001SSBS-20,M. A. Babar - UFL,23-24,
UON,24,027,FLLA17088-77,LA10044SSBS-1 / LA10001SSBS-20,M. A. Babar - UFL,23-24,4
UON,24,028,FLLA16083-25,LA08084SBSBS-15 / LA06059SBSBSB-46,M. A. Babar - UFL,23-24,
UON,24,029,FLLA17069-53,LA09015SBS-U4 / LA99016,M. A. Babar - UFL,23-24,6
UON,24,030,TX19CAS0057,TX14OCS5003/LA07023SBS-FS5-Ab1,D. Hathcoat - TAMU,23-24,
UON,24,031,TX19CAS0058,TX14OCS5003/LA07023SBS-FS5-Ab1,D. Hathcoat - TAMU,23-24,5
UON,24,032,TX18OCS9100,LA09013SBSBU6-AB1/TX09CS1029,D. Hathcoat - TAMU,22-23,
UON,24,033,TX18OCS9104,LA07023SBSBS-FS5-AB1/TX09CS1029,D. Hathcoat - TAMU,22-23,7
UON,24,034,TX18OCS9125,FL0703-R5-AB1//TX09CS1029/LA04004SBSB-7-B-S1,D. Hathcoat - TAMU,22-23,